Time [s],Current [A],Voltage [V],Temperature [degC],Step number,Status,Cycle number
0.0,-1.0,3.7753274120511326,25.0,0,CC charge,0
6.0,-1.0,3.778005362978164,25.00341712849479,0,CC charge,0
12.0,-1.0,3.7799318673480182,25.00680803701249,0,CC charge,0
18.0,-1.0,3.781459608393475,25.01017302841194,0,CC charge,0
24.0,-1.0,3.782750598847928,25.013512354444572,0,CC charge,0
30.0,-1.0,3.783887445761429,25.016826241634305,0,CC charge,0
36.0,-1.0,3.784916403337867,25.02011490402066,0,CC charge,0
42.0,-1.0,3.78586445400716,25.023378547777895,0,CC charge,0
48.0,-1.0,3.7867482094620137,25.02661737369141,0,CC charge,0
54.0,-1.0,3.787579438584491,25.029831578712447,0,CC charge,0
60.0,-1.0,3.7883675366579914,25.033021356981976,0,CC charge,0
66.0,-1.0,3.7891199859501343,25.03618690003134,0,CC charge,0
72.0,-1.0,3.7898426847882902,25.03932839704709,0,CC charge,0
78.0,-1.0,3.790539425787245,25.04244603476724,0,CC charge,0
84.0,-1.0,3.7912131737421912,25.04553999792637,0,CC charge,0
90.0,-1.0,3.7918666501916576,25.048610469527546,0,CC charge,0
96.0,-1.0,3.792501411495004,25.05165763048149,0,CC charge,0
102.0,-1.0,3.793119574671598,25.0546816603312,0,CC charge,0
108.0,-1.0,3.7937222389998206,25.057682736676043,0,CC charge,0
114.0,-1.0,3.794311016420932,25.06066103583925,0,CC charge,0
120.0,-1.0,3.794886978955682,25.06361673248614,0,CC charge,0
126.0,-1.0,3.795451259543061,25.066549999858523,0,CC charge,0
132.0,-1.0,3.7960047387245734,25.069461009754548,0,CC charge,0
138.0,-1.0,3.7965482036445177,25.07234993247704,0,CC charge,0
144.0,-1.0,3.7970823794400106,25.075216937096172,0,CC charge,0
150.0,-1.0,3.7976077983618257,25.07806219104276,0,CC charge,0
156.0,-1.0,3.798124929367588,25.08088586041373,0,CC charge,0
162.0,-1.0,3.7986344485710566,25.083688110367007,0,CC charge,0
168.0,-1.0,3.7991365933031314,25.086469104126593,0,CC charge,0
174.0,-1.0,3.799631720722276,25.089229003864887,0,CC charge,0
180.0,-1.0,3.8001203900933422,25.091967970868893,0,CC charge,0
186.0,-1.0,3.800602772088025,25.094686164509028,0,CC charge,0
192.0,-1.0,3.801079183783143,25.09738374324786,0,CC charge,0
198.0,-1.0,3.801550002951848,25.100060864513296,0,CC charge,0
204.0,-1.0,3.802015426978016,25.10271768407017,0,CC charge,0
210.0,-1.0,3.8024757157952074,25.105354356765417,0,CC charge,0
216.0,-1.0,3.802931118160728,25.10797103627567,0,CC charge,0
222.0,-1.0,3.803381826246311,25.110567874852563,0,CC charge,0
228.0,-1.0,3.803828044718643,25.11314502380725,0,CC charge,0
234.0,-1.0,3.8042699558989743,25.115702633210276,0,CC charge,0
240.0,-1.0,3.804707715762235,25.11824085184776,0,CC charge,0
246.0,-1.0,3.805141520171392,25.120759827818915,0,CC charge,0
252.0,-1.0,3.8055715057556583,25.123259707672844,0,CC charge,0
258.0,-1.0,3.805997789997401,25.125740636752823,0,CC charge,0
264.0,-1.0,3.8064204794539305,25.12820275926714,0,CC charge,0
270.0,-1.0,3.806839702171941,25.130646218563182,0,CC charge,0
276.0,-1.0,3.80725566106736,25.133071157583117,0,CC charge,0
282.0,-1.0,3.807668388209034,25.135477716773607,0,CC charge,0
288.0,-1.0,3.8080779648249026,25.137866035955312,0,CC charge,0
294.0,-1.0,3.808484459744153,25.140236253798832,0,CC charge,0
300.0,-1.0,3.808888050146788,25.14258850909181,0,CC charge,0
306.0,-1.0,3.8092888143726062,25.144922938568584,0,CC charge,0
312.0,-1.0,3.809686797513183,25.14723967759494,0,CC charge,0
318.0,-1.0,3.8100820658136607,25.149538860738687,0,CC charge,0
324.0,-1.0,3.810474693176559,25.151820621713284,0,CC charge,0
330.0,-1.0,3.8108648174701982,25.1540850942946,0,CC charge,0
336.0,-1.0,3.811252465792601,25.156332409481937,0,CC charge,0
342.0,-1.0,3.8116377010192415,25.158562697876732,0,CC charge,0
348.0,-1.0,3.812020581845016,25.160776089034016,0,CC charge,0
354.0,-1.0,3.8124011839853047,25.162972712217027,0,CC charge,0
360.0,-1.0,3.812779570030181,25.165152695326128,0,CC charge,0
366.0,-1.0,3.8131557869778008,25.167316164808256,0,CC charge,0
372.0,-1.0,3.813529886538157,25.16946324638002,0,CC charge,0
378.0,-1.0,3.813901918452883,25.171594064831535,0,CC charge,0
384.0,-1.0,3.81427194256317,25.173708744923488,0,CC charge,0
390.0,-1.0,3.8146399982556622,25.17580740911876,0,CC charge,0
396.0,-1.0,3.81500612878456,25.1778901793852,0,CC charge,0
402.0,-1.0,3.815370374813323,25.179957176716925,0,CC charge,0
408.0,-1.0,3.8157327927064704,25.182008522413753,0,CC charge,0
414.0,-1.0,3.81609343061759,25.18404433641217,0,CC charge,0
420.0,-1.0,3.816452314354731,25.18606473628995,0,CC charge,0
426.0,-1.0,3.8168094778552617,25.188069839398963,0,CC charge,0
432.0,-1.0,3.817164952423639,25.19005976211156,0,CC charge,0
438.0,-1.0,3.817518766743088,25.192034619820447,0,CC charge,0
444.0,-1.0,3.817870946887502,25.19399452693898,0,CC charge,0
450.0,-1.0,3.818221516333712,25.19593959690087,0,CC charge,0
456.0,-1.0,3.8185705214146193,25.197869943950423,0,CC charge,0
462.0,-1.0,3.818918069437908,25.199785685837753,0,CC charge,0
468.0,-1.0,3.819264119783597,25.201686929110963,0,CC charge,0
474.0,-1.0,3.81960869578148,25.203573784015305,0,CC charge,0
480.0,-1.0,3.819951818827799,25.20544635986261,0,CC charge,0
486.0,-1.0,3.8202935083945735,25.207304765030983,0,CC charge,0
492.0,-1.0,3.8206337820390344,25.20914910696513,0,CC charge,0
498.0,-1.0,3.820972655413241,25.210979492176364,0,CC charge,0
504.0,-1.0,3.821310142273814,25.212796026242415,0,CC charge,0
510.0,-1.0,3.8216463859567384,25.214598825039506,0,CC charge,0
516.0,-1.0,3.8219813359297263,25.216387987142753,0,CC charge,0
522.0,-1.0,3.82231500189186,25.2181636154869,0,CC charge,0
528.0,-1.0,3.822647402009054,25.219925812959275,0,CC charge,0
534.0,-1.0,3.822978553356199,25.221674681583693,0,CC charge,0
540.0,-1.0,3.823308471922265,25.22341032252058,0,CC charge,0
546.0,-1.0,3.823637172615509,25.22513283606696,0,CC charge,0
552.0,-1.0,3.823964669268778,25.22684232165625,0,CC charge,0
558.0,-1.0,3.824291009507945,25.228538882395753,0,CC charge,0
564.0,-1.0,3.8246162183697616,25.230222617747643,0,CC charge,0
570.0,-1.0,3.8249402959693457,25.231893623206417,0,CC charge,0
576.0,-1.0,3.825263259919023,25.233551995819653,0,CC charge,0
582.0,-1.0,3.825585127462437,25.235197831865776,0,CC charge,0
588.0,-1.0,3.825905915475531,25.236831226854463,0,CC charge,0
594.0,-1.0,3.8262256404675825,25.238452275526015,0,CC charge,0
600.0,-1.0,3.8265439043528016,25.240052239762463,0,CC charge,0
606.0,-1.0,3.8268611536142614,25.241639954096,0,CC charge,0
612.0,-1.0,3.827177602330913,25.243219662915635,0,CC charge,0
618.0,-1.0,3.827493206665517,25.24479034662704,0,CC charge,0
624.0,-1.0,3.827807791101688,25.246347981485712,0,CC charge,0
630.0,-1.0,3.828121469917446,25.247895126643016,0,CC charge,0
636.0,-1.0,3.828434244717075,25.249431782099123,0,CC charge,0
642.0,-1.0,3.828746097002686,25.250956888991936,0,CC charge,0
648.0,-1.0,3.829057032628959,25.252470661436178,0,CC charge,0
654.0,-1.0,3.829367057435035,25.25397331140414,0,CC charge,0
660.0,-1.0,3.829676201455427,25.255464892001612,0,CC charge,0
666.0,-1.0,3.8299845058269546,25.256945477474176,0,CC charge,0
672.0,-1.0,3.830291930434137,25.258414988891843,0,CC charge,0
678.0,-1.0,3.8305984771572463,25.25987342625467,0,CC charge,0
684.0,-1.0,3.8309041479205495,25.261320789562603,0,CC charge,0
690.0,-1.0,3.8312089446916024,25.262757078815696,0,CC charge,0
696.0,-1.0,3.831512953573738,25.26418295389243,0,CC charge,0
702.0,-1.0,3.8318161767033687,25.26559841811394,0,CC charge,0
708.0,-1.0,3.8321185736562904,25.2670031396201,0,CC charge,0
714.0,-1.0,3.832420146397368,25.26839711841086,0,CC charge,0
720.0,-1.0,3.832720896931721,25.26978035448616,0,CC charge,0
726.0,-1.0,3.833020827304151,25.27115284784611,0,CC charge,0
732.0,-1.0,3.833320068752124,25.272515821743525,0,CC charge,0
738.0,-1.0,3.833618550689315,25.27386859155183,0,CC charge,0
744.0,-1.0,3.833916261886455,25.275211032286336,0,CC charge,0
750.0,-1.0,3.834213204366032,25.27654314394715,0,CC charge,0
756.0,-1.0,3.834509380187757,25.277864926534164,0,CC charge,0
762.0,-1.0,3.834804810452886,25.2791765807288,0,CC charge,0
768.0,-1.0,3.8350996021862103,25.28047921644736,0,CC charge,0
774.0,-1.0,3.83539367375731,25.281771951732935,0,CC charge,0
780.0,-1.0,3.835687027206925,25.283054786585524,0,CC charge,0
786.0,-1.0,3.8359796646110382,25.284327721004956,0,CC charge,0
792.0,-1.0,3.8362715880804816,25.285590754991404,0,CC charge,0
798.0,-1.0,3.8365628637166864,25.286844662331873,0,CC charge,0
804.0,-1.0,3.836853553540352,25.288090171143097,0,CC charge,0
810.0,-1.0,3.8371435895679777,25.289326435925148,0,CC charge,0
816.0,-1.0,3.837432975515093,25.29055347717275,0,CC charge,0
822.0,-1.0,3.837721715121711,25.29177131538063,0,CC charge,0
828.0,-1.0,3.838009812151972,25.29297997104362,0,CC charge,0
834.0,-1.0,3.838297270393824,25.294179464656565,0,CC charge,0
840.0,-1.0,3.838584093658746,25.295369816714185,0,CC charge,0
846.0,-1.0,3.8388702857814248,25.296551047711148,0,CC charge,0
852.0,-1.0,3.83915585061944,25.29772317814235,0,CC charge,0
858.0,-1.0,3.8394407920530553,25.29888622850251,0,CC charge,0
864.0,-1.0,3.8397251139848496,25.300040219286416,0,CC charge,0
870.0,-1.0,3.84000882033953,25.301185170988845,0,CC charge,0
876.0,-1.0,3.840291926597198,25.30232127573629,0,CC charge,0
882.0,-1.0,3.840574549754299,25.30345023894853,0,CC charge,0
888.0,-1.0,3.8408565979740463,25.304570658755097,0,CC charge,0
894.0,-1.0,3.8411380771664785,25.305682585750276,0,CC charge,0
900.0,-1.0,3.841418993252449,25.306786070528403,0,CC charge,0
906.0,-1.0,3.8416993521634946,25.30788116368359,0,CC charge,0
912.0,-1.0,3.841979159841747,25.30896791581017,0,CC charge,0
918.0,-1.0,3.842258422239793,25.310046377502378,0,CC charge,0
924.0,-1.0,3.8425371453206303,25.311116599354477,0,CC charge,0
930.0,-1.0,3.842815335057556,25.31217863196065,0,CC charge,0
936.0,-1.0,3.8430929974341113,25.313232525915225,0,CC charge,0
942.0,-1.0,3.843370138444031,25.31427833181243,0,CC charge,0
948.0,-1.0,3.84364676409118,25.31531610024649,0,CC charge,0
954.0,-1.0,3.843922880389531,25.31634588181163,0,CC charge,0
960.0,-1.0,3.844198507703824,25.317368249938283,0,CC charge,0
966.0,-1.0,3.8444736457155466,25.31838302540325,0,CC charge,0
972.0,-1.0,3.844748296800116,25.319390125853715,0,CC charge,0
978.0,-1.0,3.84502246728426,25.320389612488043,0,CC charge,0
984.0,-1.0,3.8452961635033818,25.321381546504483,0,CC charge,0
990.0,-1.0,3.845569391801583,25.32236598910157,0,CC charge,0
996.0,-1.0,3.845842158531698,25.323343001477497,0,CC charge,0
1002.0,-1.0,3.846114470055404,25.324312644830684,0,CC charge,0
1008.0,-1.0,3.846386332743227,25.325274980359552,0,CC charge,0
1014.0,-1.0,3.846657752974685,25.326230069262408,0,CC charge,0
1020.0,-1.0,3.846928737138341,25.32717797273756,0,CC charge,0
1026.0,-1.0,3.8471992916319135,25.328118751983425,0,CC charge,0
1032.0,-1.0,3.8474694228623942,25.329052468198256,0,CC charge,0
1038.0,-1.0,3.847739120447961,25.32997912875618,0,CC charge,0
1044.0,-1.0,3.8480083796829936,25.33089875893978,0,CC charge,0
1050.0,-1.0,3.848277225902138,25.33181148031804,0,CC charge,0
1056.0,-1.0,3.848545664966019,25.33271735210019,0,CC charge,0
1062.0,-1.0,3.848813702748048,25.33361643349565,0,CC charge,0
1068.0,-1.0,3.8490813451345622,25.334508783713545,0,CC charge,0
1074.0,-1.0,3.8493485980249584,25.335394461963233,0,CC charge,0
1080.0,-1.0,3.849615467331846,25.336273527453898,0,CC charge,0
1086.0,-1.0,3.84988195898124,25.337146039394895,0,CC charge,0
1092.0,-1.0,3.850148078912667,25.33801205699541,0,CC charge,0
1098.0,-1.0,3.8504138330794273,25.338871639464855,0,CC charge,0
1104.0,-1.0,3.850679227448741,25.33972484601236,0,CC charge,0
1110.0,-1.0,3.850944268001928,25.340571735847277,0,CC charge,0
1116.0,-1.0,3.851208956543242,25.341412334758616,0,CC charge,0
1122.0,-1.0,3.851473262301692,25.342246408204176,0,CC charge,0
1128.0,-1.0,3.8517372220067023,25.343074259617257,0,CC charge,0
